"number" "dsum" "count" "missing" "quant_error" "fname"
0 470595. 40246 563186 0.000137295 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_AMAV_inside.tif"
1 2.48765e+06 40246 563186 0.000690340 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_BNST_inside.tif"
2 2.47223e+06 40246 563186 0.000270746 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DOWI_inside.tif"
3 2.23236e+06 40246 563186 2.74419e-05 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DUNL_inside.tif"
4 1.55485e+06 40246 563186 0.000924670 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANAC_inside.tif"
5 5.42054e+06 40246 563186 0.000484609 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCL_inside.tif"
6 1.50241e+06 40246 563186 0.000818269 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCR_inside.tif"
