"rank" "feature_density_pos" "weighted_feature_density_pos" "feature_density_zero" 
0.01570 0.9259 0.9265 0.8096
0.01580 0.9236 0.9224 0.8150
0.01590 0.9278 0.9284 0.8162
0.01600 0.9266 0.9260 0.8090
0.01610 0.8936 0.8924 0.8030
0.01620 0.8978 0.8972 0.7988
0.01630 0.9038 0.9026 0.7916
0.01640 0.9062 0.9050 0.8018
0.01650 0.9068 0.9056 0.8042
0.01660 0.9110 0.9104 0.8042
0.01670 0.9182 0.9176 0.8126
0.01680 0.9212 0.9194 0.8078
0.01690 0.9200 0.9194 0.8204
0.01700 0.9320 0.9314 0.8222
0.01709 0.9158 0.9128 0.8108
0.01719 0.9188 0.9182 0.8618
0.01729 0.8774 0.8774 0.7946
0.01739 0.9080 0.9050 0.8060
0.01749 0.9254 0.9236 0.8192
0.01759 0.9176 0.9182 0.7988
0.01769 0.8978 0.8954 0.8540
0.01779 0.8954 0.8936 0.8030
0.01789 0.8510 0.8516 0.7886
0.01799 0.9074 0.9068 0.7946
0.01809 0.9074 0.9080 0.8030
0.01819 0.9098 0.9092 0.8000
0.01829 0.9092 0.9086 0.8006
0.01839 0.9098 0.9104 0.8108
0.01849 0.9128 0.9122 0.8108
0.01859 0.9104 0.9110 0.8252
0.01869 0.9152 0.9152 0.8222
0.01878 0.9140 0.9134 0.8144
0.01888 0.9170 0.9182 0.8264
0.01898 0.9152 0.9158 0.8216
0.01908 0.9194 0.9188 0.8180
0.01918 0.9296 0.9296 0.8150
0.01928 0.9254 0.9236 0.8108
0.01938 0.9146 0.9164 0.8108
0.01948 0.9176 0.9176 0.8096
0.01958 0.9212 0.9212 0.8078
0.01968 0.9158 0.9146 0.8054
0.01978 0.8834 0.8816 0.7994
0.01988 0.8912 0.8906 0.8018
0.01998 0.9122 0.9110 0.8072
0.02008 0.9062 0.9062 0.8012
0.02018 0.9050 0.9032 0.8042
0.02028 0.9128 0.9116 0.8036
0.02037 0.9206 0.9194 0.8540
0.02047 0.9128 0.9110 0.8036
0.02057 0.9176 0.9164 0.8060
0.02067 0.9200 0.9182 0.8078
0.02077 0.9200 0.9206 0.8030
0.02087 0.9188 0.9176 0.8090
0.02097 0.9272 0.9254 0.8096
0.02107 0.9236 0.9248 0.8156
0.02117 0.9248 0.9236 0.8174
0.02127 0.9266 0.9272 0.8168
0.02137 0.9254 0.9254 0.8078
0.02147 0.9248 0.9248 0.8150
0.02157 0.9134 0.9092 0.8132
0.02167 0.9062 0.9074 0.8024
0.02177 0.9044 0.9020 0.8078
0.02187 0.9290 0.9278 0.8600
0.02196 0.8696 0.8684 0.7964
0.02206 0.9092 0.9098 0.8066
0.02216 0.9098 0.9092 0.8108
0.02226 0.9104 0.9104 0.8132
0.02236 0.9170 0.9158 0.8156
0.02246 0.9146 0.9146 0.8258
0.02256 0.9116 0.9128 0.8366
0.02266 0.9170 0.9176 0.8036
0.02276 0.9128 0.9128 0.8252
0.02286 0.9140 0.9152 0.8252
0.02296 0.9176 0.9176 0.8270
0.02306 0.9146 0.9152 0.8174
0.02316 0.9278 0.9272 0.8240
0.02326 0.9188 0.9206 0.8264
0.02336 0.9152 0.9146 0.8144
0.02346 0.9242 0.9242 0.8156
0.02356 0.9266 0.9254 0.8138
0.02365 0.9056 0.9050 0.8102
0.02375 0.9038 0.9020 0.8084
0.02385 0.9146 0.9122 0.8180
0.02395 0.8834 0.8822 0.8018
0.02405 0.8942 0.8930 0.8060
0.02415 0.9074 0.9074 0.8138
0.02425 0.9176 0.9164 0.8222
0.02435 0.9098 0.9098 0.8684
0.02445 0.9194 0.9182 0.8126
0.02455 0.8894 0.8900 0.7892
0.02465 0.9086 0.9086 0.8036
0.02475 0.9110 0.9092 0.8042
0.02485 0.9188 0.9188 0.8060
