"number" "dsum" "count" "missing" "quant_error" "fname"
0 1.43871e+06 40246 563186 0.00393883 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_AMAV_landscape-250m.tif"
1 7.60903e+06 40246 563186 0.000482312 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_BNST_landscape-250m.tif"
2 7.56642e+06 40246 563186 0.00102358 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DOWI_landscape-250m.tif"
3 6.82945e+06 40246 563186 0.000765264 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DUNL_landscape-250m.tif"
4 4.76e+06 40246 563186 0.00148189 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANAC_landscape-250m.tif"
5 1.65961e+07 40246 563186 0.000130171 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCL_landscape-250m.tif"
6 4.60094e+06 40246 563186 0.000587820 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCR_landscape-250m.tif"
