Valley,WaterYear,Runoff,Index,Type
San Joaquin,1933,3.34,2.44,D
San Joaquin,1934,2.28,1.44,C
San Joaquin,1935,6.41,3.56,AN
San Joaquin,1936,6.49,3.74,AN
San Joaquin,1937,6.53,3.90,W
San Joaquin,1938,11.24,5.89,W
San Joaquin,1939,2.90,2.20,D
San Joaquin,1940,6.59,3.36,AN
San Joaquin,1941,7.93,4.43,W
San Joaquin,1942,7.38,4.44,W
San Joaquin,1943,7.28,4.03,W
San Joaquin,1944,3.92,2.76,BN
San Joaquin,1945,6.60,3.59,AN
San Joaquin,1946,5.73,3.30,AN
San Joaquin,1947,3.42,2.18,D
San Joaquin,1948,4.21,2.70,BN
San Joaquin,1949,3.79,2.53,BN
San Joaquin,1950,4.65,2.85,BN
San Joaquin,1951,7.25,3.14,AN
San Joaquin,1952,9.30,5.17,W
San Joaquin,1953,4.35,3.03,BN
San Joaquin,1954,4.30,2.72,BN
San Joaquin,1955,3.50,2.30,D
San Joaquin,1956,9.67,4.46,W
San Joaquin,1957,4.29,3.01,BN
San Joaquin,1958,8.36,4.77,W
San Joaquin,1959,2.98,2.21,D
San Joaquin,1960,2.96,1.85,C
San Joaquin,1961,2.10,1.38,C
San Joaquin,1962,5.61,3.07,BN
San Joaquin,1963,6.24,3.57,AN
San Joaquin,1964,3.14,2.19,D
San Joaquin,1965,8.13,3.81,W
San Joaquin,1966,3.98,2.51,BN
San Joaquin,1967,9.98,5.25,W
San Joaquin,1968,2.94,2.21,D
San Joaquin,1969,12.29,6.09,W
San Joaquin,1970,5.61,3.18,AN
San Joaquin,1971,4.91,2.89,BN
San Joaquin,1972,3.57,2.16,D
San Joaquin,1973,6.47,3.50,AN
San Joaquin,1974,7.12,3.90,W
San Joaquin,1975,6.18,3.85,W
San Joaquin,1976,1.97,1.57,C
San Joaquin,1977,1.05,0.84,C
San Joaquin,1978,9.65,4.58,W
San Joaquin,1979,5.98,3.67,AN
San Joaquin,1980,9.47,4.73,W
San Joaquin,1981,3.22,2.44,D
San Joaquin,1982,11.41,5.45,W
San Joaquin,1983,15.01,7.22,W
San Joaquin,1984,7.13,3.69,AN
San Joaquin,1985,3.60,2.40,D
San Joaquin,1986,9.50,4.31,W
San Joaquin,1987,2.08,1.86,C
San Joaquin,1988,2.48,1.48,C
San Joaquin,1989,3.56,1.96,C
San Joaquin,1990,2.46,1.51,C
San Joaquin,1991,3.20,1.96,C
San Joaquin,1992,2.58,1.56,C
San Joaquin,1993,8.38,4.20,W
San Joaquin,1994,2.54,2.05,C
San Joaquin,1995,12.32,5.95,W
San Joaquin,1996,7.22,4.12,W
San Joaquin,1997,9.51,4.13,W
San Joaquin,1998,10.43,5.65,W
San Joaquin,1999,5.91,3.59,AN
San Joaquin,2000,5.90,3.38,AN
San Joaquin,2001,3.18,2.20,D
San Joaquin,2002,4.06,2.34,D
San Joaquin,2003,4.87,2.81,BN
San Joaquin,2004,3.81,2.21,D
San Joaquin,2005,9.21,4.75,W
San Joaquin,2006,10.44,5.90,W
San Joaquin,2007,2.51,1.97,C
San Joaquin,2008,3.49,2.06,C
San Joaquin,2009,4.94,2.72,BN
San Joaquin,2010,6.08,3.55,AN
San Joaquin,2011,10.99,5.58,W
San Joaquin,2012,2.76,2.18,D
San Joaquin,2013,3.05,1.71,C
San Joaquin,2014,1.72,1.16,C
San Joaquin,2015,1.44,0.81,C
San Joaquin,2016,5.06,2.35,D
San Joaquin,2017,14.84,6.46,W
San Joaquin,2018,4.76,3.03,BN
San Joaquin,2019,9.28,4.94,W
San Joaquin,2020,3.02,2.35,D
