"number" "dsum" "count" "missing" "quant_error" "fname"
0 1.36838e+08 40246 563186 0.000977149 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_AMAV_landscape-5km.tif"
1 3.78064e+08 40246 563186 0.000598517 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_BNST_landscape-5km.tif"
2 4.0813e+08 40246 563186 8.75239e-05 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_DOWI_landscape-5km.tif"
3 1.073e+08 40246 563186 0.000887170 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_DUNL_landscape-5km.tif"
4 2.23595e+08 40246 563186 0.00523660 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANAC_landscape-5km.tif"
5 7.33527e+08 40246 563186 0.000227935 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCL_landscape-5km.tif"
6 1.13353e+08 40246 563186 0.00602608 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCR_landscape-5km.tif"
