"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.02097 0.9176 0.9176
0.02107 0.9182 0.9182
0.02117 0.9182 0.9182
0.02127 0.9194 0.9194
0.02137 0.9218 0.9218
0.02147 0.9224 0.9224
0.02157 0.9224 0.9224
0.02167 0.9242 0.9242
0.02177 0.9248 0.9248
0.02187 0.9260 0.9260
0.02196 0.9272 0.9272
0.02206 0.9278 0.9278
0.02216 0.9290 0.9290
0.02226 0.9296 0.9296
0.02236 0.9290 0.9290
0.02246 0.9308 0.9308
0.02256 0.9326 0.9326
0.02266 0.9314 0.9314
0.02276 0.9302 0.9302
0.02286 0.9344 0.9344
0.02296 0.9344 0.9344
0.02306 0.9391 0.9391
0.02316 0.9427 0.9427
0.02326 0.9452 0.9452
0.02336 0.9475 0.9475
0.02346 0.9493 0.9493
0.02356 0.9517 0.9517
0.02365 0.9547 0.9547
0.02375 0.9236 0.9236
0.02385 0.9218 0.9218
0.02395 0.9278 0.9278
0.02405 0.9367 0.9367
0.02415 0.7161 0.7161
0.02425 0.7251 0.7251
0.02435 0.7574 0.7574
0.02445 0.9146 0.9146
0.02455 0.9086 0.9086
0.02465 0.9146 0.9146
0.02475 0.9200 0.9200
0.02485 0.9218 0.9218
0.02495 0.9218 0.9218
0.02505 0.9218 0.9218
0.02515 0.9242 0.9242
0.02524 0.9230 0.9230
0.02534 0.9254 0.9254
0.02544 0.9266 0.9266
0.02554 0.9260 0.9260
0.02564 0.9272 0.9272
0.02574 0.9272 0.9272
0.02584 0.9278 0.9278
0.02594 0.9284 0.9284
0.02604 0.9290 0.9290
0.02614 0.9296 0.9296
0.02624 0.9116 0.9116
0.02634 0.9224 0.9224
0.02644 0.9206 0.9206
0.02654 0.9248 0.9248
0.02664 0.9254 0.9254
0.02674 0.9272 0.9272
0.02683 0.9302 0.9302
0.02693 0.9308 0.9308
0.02703 0.9320 0.9320
0.02713 0.9308 0.9308
0.02723 0.9302 0.9302
0.02733 0.9320 0.9320
0.02743 0.9332 0.9332
0.02753 0.9355 0.9355
0.02763 0.9326 0.9326
0.02773 0.9338 0.9338
0.02783 0.9356 0.9356
0.02793 0.9344 0.9344
