"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.03489 0.9463 0.9463
0.03498 0.9602 0.9614
0.03508 0.9643 0.9661
0.03518 0.9254 0.9248
0.03528 0.9457 0.9475
0.03538 0.9494 0.9494
0.03548 0.9757 0.9757
0.03558 0.9841 0.9841
0.03568 0.9115 0.9091
0.03578 0.8882 0.8858
0.03588 0.8918 0.8864
0.03598 0.8858 0.8852
0.03608 0.8954 0.8870
0.03618 0.8876 0.8858
0.03628 0.8888 0.8882
0.03638 0.8918 0.8864
0.03648 0.8912 0.8876
0.03658 0.8924 0.8888
0.03667 0.8936 0.8888
0.03677 0.8954 0.8900
0.03687 0.8936 0.8912
0.03697 0.8924 0.8918
0.03707 0.8894 0.8924
0.03717 0.9019 0.8942
0.03727 0.9020 0.8954
0.03737 0.9049 0.8978
0.03747 0.9032 0.8966
0.03757 0.9074 0.8978
0.03767 0.9091 0.9001
0.03777 0.9104 0.9020
0.03787 0.9133 0.9031
0.03797 0.9104 0.9038
0.03807 0.9109 0.9049
0.03817 0.9140 0.9068
0.03826 0.9115 0.9067
0.03836 0.9128 0.9080
0.03846 0.9157 0.9085
0.03856 0.9146 0.9086
0.03866 0.9133 0.9085
0.03876 0.9146 0.9104
0.03886 0.9151 0.9091
0.03896 0.9152 0.9104
0.03906 0.9176 0.9092
0.03916 0.9133 0.9109
0.03926 0.9170 0.9116
0.03936 0.9187 0.9115
0.03946 0.9176 0.9122
0.03956 0.9139 0.9115
0.03966 0.9182 0.9122
0.03976 0.9163 0.9121
0.03985 0.9194 0.9134
0.03995 0.9175 0.9121
0.04005 0.9164 0.9122
0.04015 0.9145 0.9127
0.04025 0.9188 0.9134
0.04035 0.9181 0.9133
0.04045 0.9200 0.9128
0.04055 0.9182 0.9134
0.04065 0.9169 0.9133
0.04075 0.9194 0.9140
0.04085 0.9205 0.9145
0.04095 0.9182 0.9140
0.04105 0.9211 0.9151
0.04115 0.9200 0.9152
0.04125 0.9175 0.9151
0.04135 0.9206 0.9152
0.04145 0.9241 0.9145
0.04154 0.9218 0.9170
0.04164 0.9211 0.9151
0.04174 0.9170 0.9170
0.04184 0.9211 0.9163
0.04194 0.9164 0.9164
0.04204 0.9194 0.9164
0.04214 0.9193 0.9175
0.04224 0.9230 0.9176
0.04234 0.9241 0.9169
0.04244 0.9194 0.9170
0.04254 0.9205 0.9175
0.04264 0.9230 0.9182
0.04274 0.9217 0.9181
0.04284 0.9230 0.9182
0.04294 0.9199 0.9187
0.04304 0.9242 0.9188
0.04313 0.9247 0.9187
0.04323 0.9254 0.9200
0.04333 0.9193 0.9193
0.04343 0.9218 0.9182
0.04353 0.9254 0.9206
0.04363 0.9229 0.9199
0.04373 0.9272 0.9200
0.04383 0.9211 0.9199
0.04393 0.9236 0.9194
0.04403 0.9241 0.9211
0.04413 0.9260 0.9206
0.04423 0.9229 0.9205
0.04433 0.9242 0.9212
0.04443 0.9223 0.9211
0.04453 0.9206 0.9224
0.04463 0.9247 0.9223
0.04472 0.9254 0.9224
0.04482 0.9241 0.9229
0.04492 0.9230 0.9224
0.04502 0.9284 0.9230
0.04512 0.9253 0.9229
0.04522 0.9254 0.9230
0.04532 0.9259 0.9229
0.04542 0.9254 0.9242
0.04552 0.9253 0.9241
0.04562 0.9266 0.9248
0.04572 0.9271 0.9241
0.04582 0.9242 0.9260
0.04592 0.9283 0.9277
0.04602 0.9302 0.9272
0.04612 0.9289 0.9283
0.04622 0.9326 0.9290
0.04632 0.9343 0.9325
0.04641 0.9392 0.9344
0.04651 0.9296 0.9368
0.04661 0.9301 0.9367
0.04671 0.9314 0.9368
0.04681 0.9385 0.9379
0.04691 0.9338 0.9386
0.04701 0.9313 0.9379
0.04711 0.9332 0.9386
0.04721 0.9331 0.9391
0.04731 0.9326 0.9386
0.04741 0.9385 0.9397
0.04751 0.9350 0.9404
0.04761 0.9331 0.9397
0.04771 0.9350 0.9386
0.04781 0.9349 0.9403
0.04791 0.9350 0.9398
0.04800 0.9331 0.9409
0.04810 0.9356 0.9410
0.04820 0.9338 0.9398
0.04830 0.9361 0.9403
0.04840 0.9392 0.9422
0.04850 0.9427 0.9421
0.04860 0.9380 0.9434
0.04870 0.9415 0.9427
0.04880 0.9392 0.9434
0.04890 0.9469 0.9457
0.04900 0.9386 0.9446
0.04910 0.9421 0.9445
0.04920 0.9428 0.9458
0.04930 0.9385 0.9463
0.04940 0.9458 0.9470
0.04950 0.9445 0.9469
0.04959 0.9494 0.9482
0.04969 0.9506 0.9494
0.04979 0.9541 0.9505
0.04989 0.9542 0.9512
0.04999 0.9535 0.9511
0.05009 0.9548 0.9524
0.05019 0.9529 0.9523
0.05029 0.9560 0.9536
0.05039 0.9571 0.9535
0.05049 0.9590 0.9560
0.05059 0.9595 0.9559
0.05069 0.9614 0.9578
0.05079 0.9625 0.9583
0.05089 0.9644 0.9602
0.05099 0.9637 0.9607
0.05109 0.9644 0.9608
0.05119 0.9662 0.9632
0.05128 0.9691 0.9613
0.05138 0.9620 0.9590
0.05148 0.9499 0.9493
0.05158 0.9650 0.9596
0.05168 0.9451 0.9469
0.05178 0.9452 0.9476
0.05188 0.9679 0.9643
0.05198 0.9668 0.9638
0.05208 0.9655 0.9631
0.05218 0.9710 0.9662
0.05228 0.9685 0.9643
0.05238 0.9710 0.9668
0.05248 0.9727 0.9655
0.05258 0.9704 0.9668
0.05268 0.9722 0.9668
0.05278 0.9715 0.9679
0.05287 0.9728 0.9686
0.05297 0.9733 0.9703
0.05307 0.9722 0.9686
0.05317 0.9751 0.9715
0.05327 0.9751 0.9728
0.05337 0.9751 0.9715
