"BasinName","ClassName","Month","AvgWater"
"San Joaquin","Seasonal Wetland","May",0.0940180645375406
"San Joaquin","Seasonal Wetland","Jun",0.036552150164386
"San Joaquin","Seasonal Wetland","Jul",0.0216697615494311
"San Joaquin","Seasonal Wetland","Aug",0.0335674712520544
"San Joaquin","Seasonal Wetland","Sep",0.151346158186232
"San Joaquin","Seasonal Wetland","Oct",0.413394816235795
"San Joaquin","Seasonal Wetland","Nov",0.657493305969666
"San Joaquin","Seasonal Wetland","Dec",0.729016094361593
"San Joaquin","Semi-permanent Wetland","Jan",0.744733752163876
"San Joaquin","Semi-permanent Wetland","Feb",0.741047321804727
"San Joaquin","Semi-permanent Wetland","Mar",0.738728044792432
"San Joaquin","Semi-permanent Wetland","Apr",0.609459764899024
"San Joaquin","Semi-permanent Wetland","May",0.533886581239362
"San Joaquin","Semi-permanent Wetland","Jun",0.501851688350116
"San Joaquin","Semi-permanent Wetland","Jul",0.432297568646404
"San Joaquin","Semi-permanent Wetland","Aug",0.395112503117714
"San Joaquin","Semi-permanent Wetland","Sep",0.451942637267231
"San Joaquin","Semi-permanent Wetland","Oct",0.515958236489327
"San Joaquin","Semi-permanent Wetland","Nov",0.640961811996726
"San Joaquin","Semi-permanent Wetland","Dec",0.694862831487542
"Suisun","Seasonal Wetland","Jan",0.698198700231155
"Suisun","Seasonal Wetland","Feb",0.693955085603224
"Suisun","Seasonal Wetland","Mar",0.489273808584954
"Suisun","Seasonal Wetland","Apr",0.376772782103924
"Suisun","Seasonal Wetland","May",0.248032698183073
"Suisun","Seasonal Wetland","Jun",0.141313007314862
"Suisun","Seasonal Wetland","Jul",0.108398780256302
"Suisun","Seasonal Wetland","Aug",0.0907554355966271
"Suisun","Seasonal Wetland","Sep",0.140325496350375
"Suisun","Seasonal Wetland","Oct",0.38923035188853
"Suisun","Seasonal Wetland","Nov",0.704919216472186
"Suisun","Seasonal Wetland","Dec",0.679250381221448
"Suisun","Semi-permanent Wetland","Jan",0.809226955538605
"Suisun","Semi-permanent Wetland","Feb",0.851921348979692
"Suisun","Semi-permanent Wetland","Mar",0.768712785780974
"Suisun","Semi-permanent Wetland","Apr",0.698218817150416
"Suisun","Semi-permanent Wetland","May",0.589140093406784
"Suisun","Semi-permanent Wetland","Jun",0.475624366801377
"Suisun","Semi-permanent Wetland","Jul",0.427912699843312
"Suisun","Semi-permanent Wetland","Aug",0.355607806077577
"Suisun","Semi-permanent Wetland","Sep",0.366364288345778
"Suisun","Semi-permanent Wetland","Oct",0.59026131951305
"Suisun","Semi-permanent Wetland","Nov",0.837955711892743
"Suisun","Semi-permanent Wetland","Dec",0.812398450417744
"Sutter","Seasonal Wetland","Jan",0.647016892004674
"Sutter","Seasonal Wetland","Feb",0.72267521215844
"Sutter","Seasonal Wetland","Mar",0.623298713201528
"Sutter","Seasonal Wetland","Apr",0.339188846876041
"Sutter","Seasonal Wetland","May",0.161281723745564
"Sutter","Seasonal Wetland","Jun",0.0818196414474951
"Sutter","Seasonal Wetland","Jul",0.0446794625916761
"Sutter","Seasonal Wetland","Aug",0.025476294868334
"Sutter","Seasonal Wetland","Sep",0.0649144357863857
"Sutter","Seasonal Wetland","Oct",0.231840458548517
"Sutter","Seasonal Wetland","Nov",0.49272850928864
"Sutter","Seasonal Wetland","Dec",0.596339629059367
"Sutter","Semi-permanent Wetland","Jan",0.53472995071318
"Sutter","Semi-permanent Wetland","Feb",0.338288614938362
"Sutter","Semi-permanent Wetland","Mar",0.486816643074199
"Sutter","Semi-permanent Wetland","Apr",0.361240684127614
"Sutter","Semi-permanent Wetland","May",0.329986340891593
"Sutter","Semi-permanent Wetland","Jun",0.275658387988921
"Sutter","Semi-permanent Wetland","Jul",0.262890191690955
"Sutter","Semi-permanent Wetland","Aug",0.17484445485783
"Sutter","Semi-permanent Wetland","Sep",0.21051424464539
"Sutter","Semi-permanent Wetland","Oct",0.290421630068774
"Sutter","Semi-permanent Wetland","Nov",0.511110526543633
"Sutter","Semi-permanent Wetland","Dec",0.509108114502011
"Tulare","Seasonal Wetland","Jan",0.680849004665046
"Tulare","Seasonal Wetland","Feb",0.688762505835146
"Tulare","Seasonal Wetland","Mar",0.466593605803321
"Tulare","Seasonal Wetland","Apr",0.208517876856787
"Tulare","Seasonal Wetland","May",0.0819531016830856
"Tulare","Seasonal Wetland","Jun",0.06282997388001
"Tulare","Seasonal Wetland","Jul",0.0587140432219833
"Tulare","Seasonal Wetland","Aug",0.0817651421577096
"Tulare","Seasonal Wetland","Sep",0.139327520855828
