"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.02097 0.9367 0.9367
0.02107 0.9415 0.9415
0.02117 0.9469 0.9469
0.02127 0.9505 0.9505
0.02137 0.9493 0.9493
0.02147 0.9487 0.9487
0.02157 0.9535 0.9535
0.02167 0.9571 0.9571
0.02177 0.9572 0.9572
0.02187 0.9553 0.9553
0.02196 0.9589 0.9589
0.02206 0.9625 0.9625
0.02216 0.9655 0.9655
0.02226 0.9685 0.9685
0.02236 0.9697 0.9697
0.02246 0.9224 0.9224
0.02256 0.9284 0.9284
0.02266 0.9140 0.9140
0.02276 0.9086 0.9086
0.02286 0.9379 0.9379
0.02296 0.9403 0.9403
0.02306 0.9457 0.9457
0.02316 0.9529 0.9529
0.02326 0.9560 0.9560
0.02336 0.9583 0.9583
0.02346 0.9619 0.9619
0.02356 0.9631 0.9631
0.02365 0.9697 0.9697
0.02375 0.9709 0.9709
0.02385 0.9697 0.9697
0.02395 0.9745 0.9745
0.02405 0.9547 0.9547
0.02415 0.9517 0.9517
0.02425 0.9373 0.9373
0.02435 0.9457 0.9457
0.02445 0.9553 0.9553
0.02455 0.9607 0.9607
0.02465 0.9397 0.9397
0.02475 0.9248 0.9248
0.02485 0.9284 0.9284
0.02495 0.9314 0.9314
0.02505 0.9338 0.9338
0.02515 0.9367 0.9367
0.02524 0.9391 0.9391
0.02534 0.9445 0.9445
0.02544 0.9499 0.9499
0.02554 0.9559 0.9559
0.02564 0.9607 0.9607
0.02574 0.9667 0.9667
0.02584 0.9703 0.9703
0.02594 0.9751 0.9751
0.02604 0.7544 0.7544
0.02614 0.6813 0.6813
0.02624 0.6837 0.6837
0.02634 0.6873 0.6873
0.02644 0.6927 0.6927
0.02654 0.6987 0.6987
0.02664 0.7604 0.7604
0.02674 0.7982 0.7982
0.02683 0.8060 0.8060
0.02693 0.8150 0.8150
0.02703 0.8240 0.8240
0.02713 0.8408 0.8408
0.02723 0.8576 0.8576
0.02733 0.8738 0.8738
0.02743 0.9308 0.9308
0.02753 0.9481 0.9481
0.02763 0.9487 0.9487
0.02773 0.9541 0.9541
0.02783 0.9572 0.9572
0.02793 0.9565 0.9565
0.02803 0.9595 0.9595
0.02813 0.9607 0.9607
0.02823 0.9577 0.9577
0.02833 0.9607 0.9607
0.02843 0.9631 0.9631
0.02852 0.9601 0.9601
0.02862 0.9667 0.9667
0.02872 0.9661 0.9661
0.02882 0.9673 0.9673
0.02892 0.9709 0.9709
0.02902 0.9050 0.9050
0.02912 0.9326 0.9326
0.02922 0.9553 0.9553
0.02932 0.9638 0.9638
0.02942 0.9691 0.9691
0.02952 0.9733 0.9733
0.02962 0.9763 0.9763
0.02972 0.9853 0.9853
0.02982 0.8858 0.8858
0.02992 0.9098 0.9098
0.03002 0.9266 0.9266
0.03011 0.9445 0.9445
0.03021 0.9553 0.9553
0.03031 0.9607 0.9607
0.03041 0.9667 0.9667
0.03051 0.9068 0.9068
0.03061 0.9212 0.9212
0.03071 0.9308 0.9308
0.03081 0.9398 0.9398
0.03091 0.9409 0.9409
0.03101 0.9463 0.9463
0.03111 0.9493 0.9493
