"number" "dsum" "count" "missing" "quant_error" "fname"
38 7.33527e+08 40246 563186 0.000227935 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCL_landscape-5km.tif"
39 1.19167e+06 40246 563186 0.00559512 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCR_inside.tif"
40 3.64954e+06 40246 563186 0.00416972 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCR_landscape-250m.tif"
41 1.13353e+08 40246 563186 0.00602608 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCR_landscape-5km.tif"
42 613515. 40246 563186 0.00102753 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_AMAV_inside.tif"
43 1.87551e+06 40246 563186 0.00197016 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_AMAV_landscape-250m.tif"
44 1.23917e+08 40246 563186 0.00104993 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_AMAV_landscape-5km.tif"
45 2.41969e+06 40246 563186 0.000797239 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_BNST_inside.tif"
46 7.39951e+06 40246 563186 1.34989e-05 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_BNST_landscape-250m.tif"
47 2.41749e+08 40246 563186 0.000892054 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_BNST_landscape-5km.tif"
48 3.41998e+06 40246 563186 0.000893816 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DOWI_inside.tif"
49 1.04686e+07 40246 563186 0.00126202 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DOWI_landscape-250m.tif"
50 2.99586e+08 40246 563186 0.000438691 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DOWI_landscape-5km.tif"
51 1.42806e+06 40246 563186 0.00149284 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DUNL_inside.tif"
52 4.37025e+06 40246 563186 0.000354014 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DUNL_landscape-250m.tif"
53 1.84969e+08 40246 563186 4.46458e-05 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DUNL_landscape-5km.tif"
54 1.52005e+06 40246 563186 0.00483530 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANAC_inside.tif"
55 4.65351e+06 40246 563186 0.000676801 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANAC_landscape-250m.tif"
56 2.095e+08 40246 563186 0.00497037 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANAC_landscape-5km.tif"
57 4.18485e+06 40246 563186 0.00102263 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCL_inside.tif"
58 1.28144e+07 40246 563186 0.00137711 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCL_landscape-250m.tif"
59 5.63456e+08 40246 563186 0.000712077 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCL_landscape-5km.tif"
60 1.26416e+06 40246 563186 0.00100834 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCR_inside.tif"
61 3.87141e+06 40246 563186 0.000416441 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCR_landscape-250m.tif"
62 1.10806e+08 40246 563186 0.00126288 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCR_landscape-5km.tif"
63 470595. 40246 563186 0.000137295 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_AMAV_inside.tif"
64 1.43871e+06 40246 563186 0.00393883 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_AMAV_landscape-250m.tif"
65 9.61125e+07 40246 563186 0.000373993 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_AMAV_landscape-5km.tif"
66 2.48765e+06 40246 563186 0.000690340 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_BNST_inside.tif"
67 7.60903e+06 40246 563186 0.000482312 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_BNST_landscape-250m.tif"
68 2.39453e+08 40246 563186 0.00129644 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_BNST_landscape-5km.tif"
69 2.47223e+06 40246 563186 0.000270746 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DOWI_inside.tif"
70 7.56642e+06 40246 563186 0.00102358 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DOWI_landscape-250m.tif"
71 2.21566e+08 40246 563186 0.000403861 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DOWI_landscape-5km.tif"
72 2.23236e+06 40246 563186 2.74419e-05 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DUNL_inside.tif"
73 6.82945e+06 40246 563186 0.000765264 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DUNL_landscape-250m.tif"
74 2.41591e+08 40246 563186 0.000424188 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DUNL_landscape-5km.tif"
75 1.55485e+06 40246 563186 0.000924670 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANAC_inside.tif"
76 4.76e+06 40246 563186 0.00148189 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANAC_landscape-250m.tif"
77 1.8764e+08 40246 563186 5.12052e-05 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANAC_landscape-5km.tif"
78 5.42054e+06 40246 563186 0.000484609 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCL_inside.tif"
79 1.65961e+07 40246 563186 0.000130171 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCL_landscape-250m.tif"
80 3.00392e+08 40246 563186 0.00133129 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCL_landscape-5km.tif"
81 1.50241e+06 40246 563186 0.000818269 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCR_inside.tif"
82 4.60094e+06 40246 563186 0.000587820 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCR_landscape-250m.tif"
83 1.1125e+08 40246 563186 0.00267985 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCR_landscape-5km.tif"
