"number" "dsum" "count" "missing" "quant_error" "fname"
0 9.61125e+07 40246 563186 0.000373993 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_AMAV_landscape-5km.tif"
1 2.39453e+08 40246 563186 0.00129644 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_BNST_landscape-5km.tif"
2 2.21566e+08 40246 563186 0.000403861 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DOWI_landscape-5km.tif"
3 2.41591e+08 40246 563186 0.000424188 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_DUNL_landscape-5km.tif"
4 1.8764e+08 40246 563186 5.12052e-05 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANAC_landscape-5km.tif"
5 3.00392e+08 40246 563186 0.00133129 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCL_landscape-5km.tif"
6 1.1125e+08 40246 563186 0.00267985 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_winter_ANCR_landscape-5km.tif"
