"number" "dsum" "count" "missing" "quant_error" "fname"
0 613515. 40246 563186 0.00102753 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_AMAV_inside.tif"
1 2.41969e+06 40246 563186 0.000797239 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_BNST_inside.tif"
2 3.41998e+06 40246 563186 0.000893816 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DOWI_inside.tif"
3 1.42806e+06 40246 563186 0.00149284 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DUNL_inside.tif"
4 1.52005e+06 40246 563186 0.00483530 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANAC_inside.tif"
5 4.18485e+06 40246 563186 0.00102263 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCL_inside.tif"
6 1.26416e+06 40246 563186 0.00100834 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCR_inside.tif"
