"number" "dsum" "count" "missing" "quant_error" "fname"
0 2.24969e+06 40246 563186 0.00180344 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_AMAV_landscape-250m.tif"
1 1.04162e+07 40246 563186 0.000358296 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_BNST_landscape-250m.tif"
2 1.32072e+07 40246 563186 0.00104812 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_DOWI_landscape-250m.tif"
3 1.55232e+06 40246 563186 0.00120386 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_DUNL_landscape-250m.tif"
4 4.73231e+06 40246 563186 0.00182538 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANAC_landscape-250m.tif"
5 1.17905e+07 40246 563186 0.00162667 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCL_landscape-250m.tif"
6 3.64954e+06 40246 563186 0.00416972 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCR_landscape-250m.tif"
