"rank" "feature_density_pos" "weighted_feature_density_pos" "feature_density_zero" 
0.01570 0.7059 0.7059 1.3032
0.01580 0.7173 0.7173 0.8954
0.01590 0.7251 0.7251 1.1101
0.01600 0.7269 0.7269 0.9913
0.01610 0.7286 0.7286 1.0435
0.01620 0.7316 0.7316 1.0351
0.01630 0.7316 0.7316 0.9961
0.01640 0.7334 0.7334 0.9853
0.01650 0.7352 0.7352 1.0087
0.01660 0.7358 0.7358 0.8912
0.01670 0.7382 0.7382 1.0033
0.01680 0.7376 0.7376 0.8804
0.01690 0.7400 0.7400 0.9445
0.01700 0.7400 0.7400 0.9026
0.01709 0.7400 0.7400 0.8936
0.01719 0.7418 0.7418 0.8420
0.01729 0.7419 0.7419 0.8312
0.01739 0.7436 0.7436 0.8954
0.01749 0.7436 0.7436 0.9433
0.01759 0.7448 0.7448 0.8258
0.01769 0.7460 0.7460 0.8912
0.01779 0.7460 0.7460 0.9625
0.01789 0.7466 0.7466 0.9601
0.01799 0.7490 0.7490 1.0129
0.01809 0.7484 0.7484 1.0099
0.01819 0.7508 0.7508 1.0915
0.01829 0.7532 0.7532 0.9595
0.01839 0.7556 0.7556 0.9757
0.01849 0.7580 0.7580 0.9403
0.01859 0.7616 0.7616 1.0759
0.01869 0.7658 0.7658 1.0663
0.01878 0.7718 0.7718 1.0549
0.01888 0.7748 0.7748 1.0597
0.01898 0.7748 0.7748 1.0501
0.01908 0.7772 0.7772 1.0657
0.01918 0.7772 0.7772 1.0573
0.01928 0.7796 0.7796 1.0573
0.01938 0.7802 0.7802 1.0507
0.01948 0.7826 0.7826 1.0525
0.01958 0.7838 0.7838 1.0543
0.01968 0.7850 0.7850 1.0645
0.01978 0.8192 0.8192 1.0657
0.01988 0.8348 0.8348 1.0609
0.01998 0.7197 0.7197 0.9284
0.02008 0.7460 0.7460 0.8204
0.02018 0.8132 0.8132 1.0009
0.02028 0.8114 0.8114 0.9985
0.02037 0.7466 0.7466 0.8288
0.02047 0.7652 0.7652 0.9601
0.02057 0.7808 0.7808 1.0321
0.02067 0.7880 0.7880 1.0429
0.02077 0.6735 0.6735 1.3362
0.02087 0.6747 0.6747 1.3326
0.02097 0.6759 0.6759 1.3290
0.02107 0.6789 0.6789 1.3194
0.02117 0.6837 0.6837 1.3164
0.02127 0.7029 0.7029 1.1982
0.02137 0.7131 0.7131 0.8936
0.02147 0.7215 0.7215 1.1413
0.02157 0.7263 0.7263 0.9451
0.02167 0.7298 0.7298 1.0609
0.02177 0.7317 0.7317 0.9602
0.02187 0.7334 0.7334 0.9685
0.02196 0.7364 0.7364 1.0087
0.02206 0.7370 0.7370 0.9595
0.02216 0.7406 0.7406 1.0729
0.02226 0.7400 0.7400 0.9553
0.02236 0.7412 0.7412 0.8960
0.02246 0.7436 0.7436 1.0159
0.02256 0.7436 0.7436 0.8960
0.02266 0.7454 0.7454 0.9565
0.02276 0.7454 0.7454 1.0675
0.02286 0.7460 0.7460 0.9595
0.02296 0.7472 0.7472 1.0135
0.02306 0.7424 0.7424 0.9427
0.02316 0.7346 0.7346 1.0249
0.02326 0.7491 0.7491 1.0867
0.02336 0.7520 0.7520 1.0297
0.02346 0.7532 0.7532 1.0807
0.02356 0.7520 0.7520 1.0255
0.02365 0.7550 0.7550 1.0843
0.02375 0.7574 0.7574 1.0219
0.02385 0.7562 0.7562 0.9823
0.02395 0.7586 0.7586 1.0627
0.02405 0.7598 0.7598 1.0843
0.02415 0.7598 0.7598 1.0687
0.02425 0.7610 0.7610 1.0969
0.02435 0.7622 0.7622 1.0873
0.02445 0.7634 0.7634 1.0609
0.02455 0.7628 0.7628 1.0687
0.02465 0.7646 0.7646 1.0597
0.02475 0.7658 0.7658 1.0567
0.02485 0.7652 0.7652 1.0435
0.02495 0.7670 0.7670 1.0969
0.02505 0.7676 0.7676 1.0807
0.02515 0.7736 0.7736 1.0885
0.02524 0.7748 0.7748 1.0771
0.02534 0.7784 0.7784 1.0807
0.02544 0.7778 0.7778 1.0729
0.02554 0.7802 0.7802 1.0549
0.02564 0.7814 0.7814 1.0591
0.02574 0.7820 0.7820 1.0555
0.02584 0.7850 0.7850 1.0543
0.02594 0.7892 0.7892 1.0681
0.02604 0.7928 0.7928 1.0543
0.02614 0.8144 0.8144 1.0855
0.02624 0.7472 0.7472 0.8288
0.02634 0.7521 0.7521 0.8288
0.02644 0.7502 0.7502 1.0687
0.02654 0.7478 0.7478 1.0543
0.02664 0.7460 0.7460 0.8240
0.02674 0.7412 0.7412 0.8528
0.02683 0.7394 0.7394 0.8648
0.02693 0.7478 0.7478 0.8306
0.02703 0.6939 0.6939 1.2084
0.02713 0.6771 0.6771 1.3535
0.02723 0.6789 0.6789 1.3344
0.02733 0.6813 0.6813 1.3248
0.02743 0.6831 0.6831 1.3320
0.02753 0.6843 0.6843 1.3284
0.02763 0.6861 0.6861 1.3374
0.02773 0.6885 0.6885 1.3224
0.02783 0.6909 0.6909 1.3440
0.02793 0.6927 0.6927 1.3302
0.02803 0.7023 0.7023 1.3260
0.02813 0.7101 0.7101 1.1910
0.02823 0.7203 0.7203 1.0981
0.02833 0.7251 0.7251 1.0213
0.02843 0.7280 0.7280 0.9823
0.02852 0.7292 0.7292 0.9835
0.02862 0.7304 0.7304 1.0417
0.02872 0.7340 0.7340 1.0363
0.02882 0.7352 0.7352 1.1353
0.02892 0.7412 0.7412 0.8618
0.02902 0.7442 0.7442 1.0309
0.02912 0.7442 0.7442 0.8420
0.02922 0.7472 0.7472 0.9224
0.02932 0.7485 0.7485 0.8522
0.02942 0.7484 0.7484 1.1425
0.02952 0.7508 0.7508 0.9715
0.02962 0.7508 0.7508 1.1628
0.02972 0.7514 0.7514 0.9991
0.02982 0.7526 0.7526 0.8684
0.02992 0.7538 0.7538 0.9757
0.03002 0.7538 0.7538 0.9859
0.03011 0.7574 0.7574 1.1197
0.03021 0.7604 0.7604 0.9098
0.03031 0.7622 0.7622 1.0045
0.03041 0.7628 0.7628 1.1898
0.03051 0.7676 0.7676 1.0129
0.03061 0.7712 0.7712 1.0045
0.03071 0.7766 0.7766 1.1556
0.03081 0.7796 0.7796 1.1623
0.03091 0.7826 0.7826 1.1059
0.03101 0.7862 0.7862 1.1766
0.03111 0.7892 0.7892 0.9853
0.03121 0.7916 0.7916 1.0531
0.03131 0.7934 0.7934 1.0537
0.03141 0.7940 0.7940 1.0471
0.03151 0.8138 0.8138 1.1305
0.03161 0.8204 0.8204 1.0801
0.03171 0.8174 0.8174 1.1088
0.03180 0.7616 0.7616 1.1725
0.03190 0.7760 0.7760 1.1820
0.03200 0.7856 0.7856 1.1958
0.03210 0.7964 0.7964 1.0429
0.03220 0.8078 0.8078 1.0525
0.03230 0.8156 0.8156 1.0123
0.03240 0.7533 0.7533 0.8318
0.03250 0.7628 0.7628 0.8480
0.03260 0.7383 0.7383 0.8564
0.03270 0.7346 0.7346 0.8618
0.03280 0.7365 0.7365 0.8642
0.03290 0.7370 0.7370 0.8654
0.03300 0.7425 0.7425 0.8660
