"number" "dsum" "count" "missing" "quant_error" "fname"
0 735545. 40246 563186 0.00182378 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_AMAV_inside.tif"
1 3.40277e+06 40246 563186 0.00117273 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_BNST_inside.tif"
2 4.3131e+06 40246 563186 0.000547796 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_DOWI_inside.tif"
3 506919. 40246 563186 0.00134854 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_DUNL_inside.tif"
4 1.54567e+06 40246 563186 0.00402958 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANAC_inside.tif"
5 3.85021e+06 40246 563186 0.00218431 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCL_inside.tif"
6 1.19167e+06 40246 563186 0.00559512 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_summer_ANCR_inside.tif"
