"number" "dsum" "count" "missing" "quant_error" "fname"
0 1.87551e+06 40246 563186 0.00197016 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_AMAV_landscape-250m.tif"
1 7.39951e+06 40246 563186 1.34989e-05 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_BNST_landscape-250m.tif"
2 1.04686e+07 40246 563186 0.00126202 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DOWI_landscape-250m.tif"
3 4.37025e+06 40246 563186 0.000354014 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DUNL_landscape-250m.tif"
4 4.65351e+06 40246 563186 0.000676801 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANAC_landscape-250m.tif"
5 1.28144e+07 40246 563186 0.00137711 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCL_landscape-250m.tif"
6 3.87141e+06 40246 563186 0.000416441 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCR_landscape-250m.tif"
