"number" "dsum" "count" "missing" "quant_error" "fname"
0 1.23917e+08 40246 563186 0.00104993 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_AMAV_landscape-5km.tif"
1 2.41749e+08 40246 563186 0.000892054 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_BNST_landscape-5km.tif"
2 2.99586e+08 40246 563186 0.000438691 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DOWI_landscape-5km.tif"
3 1.84969e+08 40246 563186 4.46458e-05 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_DUNL_landscape-5km.tif"
4 2.095e+08 40246 563186 0.00497037 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANAC_landscape-5km.tif"
5 5.63456e+08 40246 563186 0.000712077 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCL_landscape-5km.tif"
6 1.10806e+08 40246 563186 0.00126288 "E:\code\cvjv-restoration-modelling\analysis\bird_summaries\by_season\suitability_2013-2022_fall_ANCR_landscape-5km.tif"
